model_name,holdout_Sensitivity,holdout_Specificity,holdout_Precision,holdout_Accuracy,holdout_TP,holdout_FP,holdout_FN,holdout_TN,cv_AUC,cv_Sensitivity,cv_Specificity,cv_Precision,cv_Accuracy,best_params
logit_baseline_smote,0.744827586206897,0.851979886863608,0.407547169811321,0.839093171136301,324,471,111,2711,0.926588976735566,0.765425531914894,0.905851078550213,0.829888146093829,0.853191463584899,parameter:1
rf_baseline_smote,0.662068965517241,0.919861722187304,0.530386740331492,0.88885816975394,288,255,147,2927,0.989408754876694,0.907269503546099,0.969999974494227,0.947769917874977,0.946476053577199,"mtry:15, splitrule:1, min.node.size:5"
xgb_baseline_smote,0.475862068965517,0.961659333752357,0.629179331306991,0.903234724910147,207,122,228,3060,0.981852630914049,0.875,0.965159573004169,0.937780215969349,0.931349705269666,"nrounds:500, max_depth:1, eta:0.4, gamma:10, colsample_bytree:0.5, min_child_weight:5, subsample:0.9"
rf_scaled,0.981609195402299,0.0883092394720302,0.128305288461538,0.195742327896046,427,2901,8,281,0.989337592047838,0.908732269503546,0.970292696734374,0.948382186198741,0.947207502591455,"mtry:15, splitrule:1, min.node.size:5"
xgb_scaled,1,0.0128849780012571,0.121644295302013,0.131600774122201,435,3141,0,41,0.981927921061337,0.876817375886525,0.964547788827125,0.936883998291075,0.931648916515312,"nrounds:500, max_depth:1, eta:0.4, gamma:10, colsample_bytree:0.5, min_child_weight:5, subsample:0.9"
logit_drop_day,0.747126436781609,0.853551225644249,0.410872313527181,0.840752004423555,325,466,110,2716,0.924290332015106,0.75979609929078,0.904494572496791,0.826833639925322,0.850232713235792,parameter:1
logit_drop_pdays,0.737931034482759,0.856065367693275,0.41206675224647,0.841857893281725,321,458,114,2724,0.925245108428112,0.763386524822695,0.905000036645981,0.828237770818436,0.851894923517669,parameter:1
logit_drop_day_pdays,0.744827586206897,0.858265241986172,0.418064516129032,0.84462261542715,324,451,111,2731,0.922540601047067,0.755629432624114,0.903404141304815,0.824419877536108,0.847988627650108,parameter:1
rf_drop_day,0.64367816091954,0.92049025769956,0.525328330206379,0.887199336466685,280,253,155,2929,0.987681422490705,0.90616134751773,0.969016013988164,0.946111124765354,0.945445473719901,"mtry:15, splitrule:1, min.node.size:5"
rf_drop_day_pdays,0.627586206896552,0.920175989943432,0.518026565464896,0.884987558750346,273,254,162,2928,0.987639979005243,0.904166666666667,0.969202061835728,0.946307102424676,0.944813793561752,"mtry:15, splitrule:1, min.node.size:5"
xgb_drop_day,0.452873563218391,0.965744814582024,0.643790849673203,0.904064141553774,197,109,238,3073,0.982282705711803,0.877304964539007,0.966515907180088,0.940198628671388,0.933061817386346,"nrounds:500, max_depth:1, eta:0.4, gamma:10, colsample_bytree:0.5, min_child_weight:5, subsample:0.9"
logit_cluster_drop_day,0.72183908045977,0.856379635449403,0.407263294422827,0.840199059994471,314,457,121,2725,0.923347982147718,0.757225177304965,0.907260503776864,0.83055178433223,0.850997360236622,parameter:1
rf_cluster,0.662068965517241,0.918604651162791,0.526508226691042,0.88775228089577,288,259,147,2923,0.988681849795349,0.912322695035461,0.968483983094163,0.945560748880377,0.947423502944086,"mtry:15, splitrule:1, min.node.size:5"
rf_tuned,0.664367816091954,0.919547454431175,0.530275229357798,0.88885816975394,289,256,146,2926,0.990299965115319,0.908776595744681,0.970638274489415,0.948909282020764,0.947440178609959,"mtry:15, splitrule:1, min.node.size:1"
